gene name,log2 fold change of elderly vs adult,ratio of cells express this gene in elderly,ratio of cells express this gene in adult,Wilcox's p-value,q-value,cell type
MTCH1,-0.699890186,7.09E-01,8.16E-01,0.00E+00,0.00E+00,L2/3
SH3GLB2,-0.66608987,5.48E-01,6.55E-01,0.00E+00,0.00E+00,L2/3
SAT2,-0.785587304,6.63E-01,7.70E-01,0.00E+00,0.00E+00,L2/3
NDUFA4,-0.86626064,6.92E-01,7.98E-01,0.00E+00,0.00E+00,L2/3
RUNDC3A,-0.647238782,6.31E-01,7.37E-01,0.00E+00,0.00E+00,L2/3
BSCL2,-0.878292998,7.56E-01,8.61E-01,0.00E+00,0.00E+00,L2/3
THY1,-1.078126871,8.07E-01,9.12E-01,0.00E+00,0.00E+00,L2/3
RPLP1,-0.661571006,6.20E-01,7.25E-01,0.00E+00,0.00E+00,L2/3
ARF3,-0.676007043,6.47E-01,7.51E-01,0.00E+00,0.00E+00,L2/3
REEP2,-0.640724176,5.85E-01,6.88E-01,0.00E+00,0.00E+00,L2/3
MAL2,-0.601011635,6.28E-01,7.29E-01,0.00E+00,0.00E+00,L2/3
RPL41,-0.701413135,6.67E-01,7.68E-01,0.00E+00,0.00E+00,L2/3
SLC17A7,-0.789829195,7.66E-01,8.67E-01,0.00E+00,0.00E+00,L2/3
STMN3,-0.61742211,6.35E-01,7.36E-01,0.00E+00,0.00E+00,L2/3
NPTXR,-0.771992048,7.25E-01,8.26E-01,0.00E+00,0.00E+00,L2/3
TMTC1,0.60460534,8.28E-01,7.28E-01,0,0.00E+00,L2/3
TYRO3,-0.562266934,6.73E-01,7.73E-01,0,0.00E+00,L2/3
QTRT1,-0.630479462,5.80E-01,0.679,0,0.00E+00,L2/3
KIFC2,-0.588569596,6.72E-01,0.771,0,0.00E+00,L2/3
PTMA,-0.539748423,6.89E-01,0.787,0,0.00E+00,L2/3
ULK3,-0.758322315,5.63E-01,0.661,0,0.00E+00,L2/3
ZNF302,-0.616212122,5.80E-01,0.678,0,0.00E+00,L2/3
RPL5,-0.727606605,6.73E-01,0.771,0,0.00E+00,L2/3
VDAC3,-0.645083189,6.71E-01,0.769,0,0.00E+00,L2/3
SEZ6L2,-0.711069494,6.60E-01,0.758,0,0.00E+00,L2/3
JAK2,0.523714921,7.92E-01,0.695,0,0.00E+00,L2/3
ATP5MD,-0.696515206,6.29E-01,0.725,0,0.00E+00,L2/3
STMN1,-0.881965721,7.90E-01,0.885,0,0.00E+00,L2/3
AC009041.2,-0.652416165,7.86E-01,0.881,0,0.00E+00,L2/3
TBRG1,-0.765143975,7.10E-01,0.804,0,0.00E+00,L2/3
TSPAN13,-0.62654426,6.70E-01,0.764,0,0.00E+00,L2/3
FXYD7,-0.560038565,6.35E-01,0.728,0,0.00E+00,L2/3
GAB1,0.598739253,9.18E-01,0.827,0,0.00E+00,L2/3
UQCRH,-0.615192889,6.26E-01,0.717,0.00E+00,0.00E+00,L2/3
RPL34,-0.721883471,6.53E-01,0.743,0.00E+00,0.00E+00,L2/3
NDUFA5,-0.597867589,6.44E-01,7.34E-01,0.00E+00,0.00E+00,L2/3
SCG5,-0.885747641,7.39E-01,8.29E-01,0.00E+00,0.00E+00,L2/3
VDAC1,-0.660812224,6.38E-01,7.26E-01,0.00E+00,0.00E+00,L2/3
TMEM59L,-0.974639942,8.29E-01,9.16E-01,0.00E+00,0.00E+00,L2/3
SARAF,-0.766791652,7.96E-01,8.83E-01,0.00E+00,0.00E+00,L2/3
IGSF8,-0.625017369,7.17E-01,8.03E-01,0.00E+00,0.00E+00,L2/3
SNX3,-0.638844493,6.53E-01,7.38E-01,0.00E+00,0.00E+00,L2/3
PTPRN,-0.594644218,6.71E-01,7.55E-01,0.00E+00,0.00E+00,L2/3
LINC00513,0.578088135,8.41E-01,7.57E-01,0.00E+00,0.00E+00,L2/3
PKM,-0.712508467,7.91E-01,8.74E-01,0.00E+00,0.00E+00,L2/3
CCNI,-0.661481657,7.66E-01,8.47E-01,0.00E+00,0.00E+00,L2/3
CAMK2N1,-0.833686435,8.49E-01,9.29E-01,0.00E+00,0.00E+00,L2/3
NGEF,-0.600552128,8.21E-01,9.01E-01,0.00E+00,0.00E+00,L2/3
ARPP19,-0.925723092,8.62E-01,9.42E-01,0.00E+00,0.00E+00,L2/3
REEP5,-0.600128212,7.23E-01,8.01E-01,0.00E+00,0.00E+00,L2/3
HOPX,-0.618497537,7.64E-01,8.41E-01,0.00E+00,0.00E+00,L2/3
NEFL,-0.775391416,6.94E-01,7.69E-01,0.00E+00,0.00E+00,L2/3
SCN3B,-0.663130123,7.66E-01,8.40E-01,0.00E+00,0.00E+00,L2/3
CCK,-1.259499249,8.54E-01,9.27E-01,0.00E+00,0.00E+00,L2/3
SLC22A17,-0.615551459,7.82E-01,8.55E-01,0.00E+00,0.00E+00,L2/3
SULT4A1,-0.569765233,6.81E-01,7.54E-01,0.00E+00,0.00E+00,L2/3
SCAMP5,-0.533595952,7.67E-01,8.39E-01,0.00E+00,0.00E+00,L2/3
CALM3,-0.82705402,8.66E-01,9.35E-01,0.00E+00,0.00E+00,L2/3
MDH1,-0.674553153,7.82E-01,8.51E-01,0.00E+00,0.00E+00,L2/3
PVT1,0.503332293,8.15E-01,7.48E-01,0.00E+00,0.00E+00,L2/3
TUBA1B,-0.853018025,8.41E-01,9.06E-01,0.00E+00,0.00E+00,L2/3
YWHAH,-0.815718304,8.50E-01,9.15E-01,0.00E+00,0.00E+00,L2/3
ATP1A3,-0.562917529,7.22E-01,7.86E-01,0.00E+00,0.00E+00,L2/3
DYNLL1,-0.585757829,8.15E-01,8.78E-01,0.00E+00,0.00E+00,L2/3
PGM2L1,-0.514432474,7.93E-01,8.55E-01,0.00E+00,0.00E+00,L2/3
EIF4A2,-0.661748809,8.36E-01,8.95E-01,0.00E+00,0.00E+00,L2/3
HRH2,-0.561164059,7.43E-01,8.02E-01,0.00E+00,0.00E+00,L2/3
YWHAB,-0.591875715,8.30E-01,8.89E-01,0.00E+00,0.00E+00,L2/3
PEBP1,-0.646832897,8.52E-01,9.09E-01,0.00E+00,0.00E+00,L2/3
DGKZ,-0.608915002,8.57E-01,9.13E-01,0.00E+00,0.00E+00,L2/3
CAMKK2,-0.551222714,8.17E-01,8.73E-01,0.00E+00,0.00E+00,L2/3
FAIM2,-0.584004078,8.05E-01,8.61E-01,0.00E+00,0.00E+00,L2/3
CRYM,-0.605302168,6.96E-01,7.51E-01,0.00E+00,0.00E+00,L2/3
HSP90AB1,-0.658873031,8.76E-01,9.30E-01,0.00E+00,0.00E+00,L2/3
LINGO1,-0.535516161,7.72E-01,8.26E-01,0.00E+00,0.00E+00,L2/3
PLD3,-0.5377365,8.55E-01,9.08E-01,0.00E+00,0.00E+00,L2/3
OCIAD1,-0.507060788,8.28E-01,8.78E-01,0.00E+00,0.00E+00,L2/3
MIR137HG,0.609609177,9.40E-01,8.94E-01,0.00E+00,0.00E+00,L2/3
FTH1,-1.090427345,8.96E-01,9.42E-01,0.00E+00,0.00E+00,L2/3
NRGN,-1.405645712,9.26E-01,9.72E-01,0.00E+00,0.00E+00,L2/3
MCTP1,0.771220895,9.65E-01,9.20E-01,0.00E+00,0.00E+00,L2/3
OLFM1,-0.542839251,8.94E-01,9.38E-01,0.00E+00,0.00E+00,L2/3
FAM153B,-0.646654678,8.44E-01,8.87E-01,0.00E+00,0.00E+00,L2/3
TTC28,0.505614423,9.25E-01,8.82E-01,0.00E+00,0.00E+00,L2/3
CKB,-1.191905068,9.21E-01,9.64E-01,0.00E+00,0.00E+00,L2/3
NDFIP1,-0.504383024,9.07E-01,9.40E-01,0.00E+00,0.00E+00,L2/3
AC092691.1,0.557218127,9.50E-01,9.18E-01,0.00E+00,0.00E+00,L2/3
ACTB,-0.594104758,9.02E-01,9.30E-01,0.00E+00,0.00E+00,L2/3
HSP90AA1,-0.718851402,9.20E-01,9.47E-01,0.00E+00,0.00E+00,L2/3
ENC1,-0.779945985,0.956,9.77E-01,0.00E+00,0.00E+00,L2/3
DOCK4,0.547620697,0.986,9.69E-01,0.00E+00,0.00E+00,L2/3
ATP1B1,-0.652697391,0.954,9.69E-01,0.00E+00,0.00E+00,L2/3
CABP1,-0.830045281,9.56E-01,9.70E-01,0.00E+00,0.00E+00,L2/3
CALM2,-0.624878414,9.67E-01,9.77E-01,0.00E+00,0.00E+00,L2/3
CALM1,-0.57270585,0.985,9.90E-01,0.00E+00,0.00E+00,L2/3
RTN4,-0.660950675,9.88E-01,9.90E-01,0.00E+00,0.00E+00,L2/3
MAGI2,0.514173235,0.999,9.98E-01,0.00E+00,0.00E+00,L2/3
SYN3,0.663895457,0.972,9.72E-01,0.00E+00,0.00E+00,L2/3
TTC9B,-1.602319743,0.411,0.699,0.0E+00,0.0E+00,L4
HES4,-2.149765823,0.14,0.416,0.0E+00,0.0E+00,L4
NPTX2,-2.431653567,0.096,0.368,0.0E+00,0.0E+00,L4
GNG3,-1.503061538,0.221,0.49,0.0E+00,0.0E+00,L4
RAB3A,-1.491559314,0.325,0.593,0.0E+00,0.0E+00,L4
GUK1,-1.284525001,0.408,0.672,0.0E+00,0.0E+00,L4
HPCA,-1.344422059,0.373,0.637,0.0E+00,0.0E+00,L4
TUBB2A,-1.473656805,0.408,0.67,0.0E+00,0.0E+00,L4
TPI1,-1.334852245,0.352,0.608,0.0E+00,0.0E+00,L4
RASL10A,-1.680646307,0.201,0.456,0.0E+00,0.0E+00,L4
LY6E,-1.478056826,0.231,0.485,0.0E+00,0.0E+00,L4
TUBA1A,-1.361354257,0.486,0.739,0.0E+00,0.0E+00,L4
LY6H,-1.363588419,0.338,0.591,0.0E+00,0.0E+00,L4
HSPA8,-1.202279621,0.431,0.683,0.0E+00,0.0E+00,L4
CTXN1,-1.370288878,0.259,0.506,0.0E+00,0.0E+00,L4
MAP1LC3A,-1.160510036,0.449,0.695,0.0E+00,0.0E+00,L4
RPS3A,-1.184755633,0.382,0.627,0.0E+00,0.0E+00,L4
GPX4,-1.152938932,0.422,0.666,0.0E+00,0.0E+00,L4
RNASEK,-1.185212231,0.363,0.607,0.0E+00,0.0E+00,L4
ARHGDIG,-1.33323807,0.289,0.532,0.0E+00,0.0E+00,L4
CCDC85B,-1.050293516,0.404,0.647,0.0E+00,0.0E+00,L4
PRDX5,-1.266574185,0.245,0.486,0.0E+00,0.0E+00,L4
ATP6V0E2,-1.221926693,0.43,0.667,0.0E+00,0.0E+00,L4
C9orf16,-1.186678613,0.301,0.538,0.0E+00,0.0E+00,L4
ATP6V0B,-1.198329519,0.421,0.657,0.0E+00,0.0E+00,L4
SLC25A4,-1.22882559,0.326,0.562,0.0E+00,0.0E+00,L4
NRN1,-1.395410895,0.485,0.721,0.0E+00,0.0E+00,L4
RPL26,-1.115490979,0.403,0.639,0.0E+00,0.0E+00,L4
STUB1,-1.196903783,0.272,0.504,0.0E+00,0.0E+00,L4
OAZ1,-1.137401078,0.544,0.775,0.0E+00,0.0E+00,L4
RPL19,-1.103608464,0.374,0.603,0.0E+00,0.0E+00,L4
RPL7A,-1.093309528,0.474,0.702,0.0E+00,0.0E+00,L4
TMEM205,-1.296823915,0.266,0.491,0.0E+00,0.0E+00,L4
MEIS3,-0.920416943,0.34,0.565,0.0E+00,0.0E+00,L4
C1QTNF4,-1.445194888,0.232,0.456,0.0E+00,0.0E+00,L4
ARF5,-1.184513931,0.252,0.476,0.0E+00,0.0E+00,L4
AP2M1,-1.110475535,0.487,0.71,0.0E+00,0.0E+00,L4
EDF1,-1.025326744,0.28,0.502,0.0E+00,0.0E+00,L4
PIN1,-1.085757375,0.371,0.593,0.0E+00,0.0E+00,L4
UQCR11,-1.107701764,0.268,0.489,0.0E+00,0.0E+00,L4
BRK1,-1.016286201,0.342,0.563,0.0E+00,0.0E+00,L4
CYCS,-1.0636219,0.326,0.546,0.0E+00,0.0E+00,L4
B4GAT1,-1.037719832,0.309,0.529,0.0E+00,0.0E+00,L4
RPL6,-1.074706984,0.412,0.632,0.0E+00,0.0E+00,L4
PPDPF,-1.320891149,0.216,0.436,0.0E+00,0.0E+00,L4
RPL8,-0.984112774,0.381,0.601,0.0E+00,0.0E+00,L4
RPL29,-0.932840456,0.342,0.561,0.0E+00,0.0E+00,L4
PRDX2,-1.049307652,0.318,0.537,0.0E+00,0.0E+00,L4
ITM2C,-1.043411541,0.358,0.576,0.0E+00,0.0E+00,L4
RPS27A,-0.926868246,0.461,0.678,0.0E+00,0.0E+00,L4
SELENOH,-0.967583555,0.38,0.596,0.0E+00,0.0E+00,L4
GABARAP,-1.009765117,0.333,0.548,0.0E+00,0.0E+00,L4
SYT5,-1.068085906,0.284,0.499,0.0E+00,0.0E+00,L4
TUBA4A,-0.998671487,0.329,0.543,0.0E+00,0.0E+00,L4
TTYH1,-1.081581879,0.283,0.497,0.0E+00,0.0E+00,L4
ATP5F1E,-0.984678694,0.366,0.58,0.0E+00,0.0E+00,L4
NDUFV1,-1.004302978,0.405,0.618,0.0E+00,0.0E+00,L4
ELOB,-1.078374745,0.312,0.524,0.0E+00,0.0E+00,L4
CA11,-0.988601595,0.45,0.662,0.0E+00,0.0E+00,L4
TMEM59L,-1.214241034,0.564,0.774,0.0E+00,0.0E+00,L4
TMEM160,-0.997173563,0.344,0.554,0.0E+00,0.0E+00,L4
RPS18,-1.014031713,0.377,0.587,0.0E+00,0.0E+00,L4
NDUFC2,-0.990660102,0.362,0.572,0.0E+00,0.0E+00,L4
ANTKMT,-1.108558368,0.272,0.482,0.0E+00,0.0E+00,L4
TUBB3,-0.971238139,0.38,0.59,0.0E+00,0.0E+00,L4
COX5A,-1.171855699,0.24,0.449,0.0E+00,0.0E+00,L4
CHCHD2,-0.842984867,0.379,0.588,0.0E+00,0.0E+00,L4
RPL21,-0.996865673,0.373,0.582,0.0E+00,0.0E+00,L4
RPL10A,-1.087071047,0.291,0.499,0.0E+00,0.0E+00,L4
RPL11,-0.931891249,0.397,0.605,0.0E+00,0.0E+00,L4
ROGDI,-1.05814194,0.272,0.48,0.0E+00,0.0E+00,L4
RPSA,-0.926951051,0.415,0.622,0.0E+00,0.0E+00,L4
AC009041.2,-1.54529478,0.231,0.438,0.0E+00,0.0E+00,L4
RPS23,-0.969729688,0.393,0.6,0.0E+00,0.0E+00,L4
RPL17,-1.031124495,0.362,0.568,0.0E+00,0.0E+00,L4
RPS12,-0.986442619,0.316,0.521,0.0E+00,0.0E+00,L4
GABARAPL2,-0.957038302,0.382,0.587,0.0E+00,0.0E+00,L4
PSMD8,-1.098010795,0.262,0.466,0.0E+00,0.0E+00,L4
MOAP1,-0.942800039,0.389,0.593,0.0E+00,0.0E+00,L4
TRAPPC5,-1.016480001,0.269,0.473,0.0E+00,0.0E+00,L4
RPL5,-0.968080424,0.478,0.681,0.0E+00,0.0E+00,L4
ISCU,-1.116149932,0.351,0.554,0.0E+00,0.0E+00,L4
AP2S1,-1.097287803,0.252,0.455,0.0E+00,0.0E+00,L4
RPL41,-0.950375487,0.492,0.695,0.0E+00,0.0E+00,L4
FKBP8,-0.875443236,0.413,0.615,0.0E+00,0.0E+00,L4
MCRIP1,-1.104141299,0.234,0.436,0.0E+00,0.0E+00,L4
SET,-0.939580111,0.371,0.573,0.0E+00,0.0E+00,L4
COX5B,-0.940068805,0.361,0.562,0.0E+00,0.0E+00,L4
RPS15,-0.851906298,0.446,0.646,0.0E+00,0.0E+00,L4
NDUFA13,-0.959041654,0.433,0.633,0.0E+00,0.0E+00,L4
CES4A,-1.04914424,0.386,0.586,0.0E+00,0.0E+00,L4
RPS7,-0.857911655,0.432,0.631,0.0E+00,0.0E+00,L4
LDHB,-0.998341486,0.402,0.601,0.0E+00,0.0E+00,L4
SOD1,-0.875662446,0.47,0.668,0.0E+00,0.0E+00,L4
COX7C,-0.926974786,0.429,0.626,0.0E+00,0.0E+00,L4
NPDC1,-0.981827033,0.527,0.724,0.0E+00,0.0E+00,L4
UBB,-0.852365365,0.442,0.638,0.0E+00,0.0E+00,L4
FRMPD2,-1.686188459,0.138,0.333,0.0E+00,0.0E+00,L4
RPL3,-0.917777577,0.509,0.704,0.0E+00,0.0E+00,L4
COX4I1,-0.85435377,0.459,0.653,0.0E+00,0.0E+00,L4
GAPDH,-1.371474213,0.634,0.827,0.0E+00,0.0E+00,L4
RPL28,-0.887051324,0.426,0.618,0.0E+00,0.0E+00,L4
NDUFB8,-0.916044873,0.52,0.712,0.0E+00,0.0E+00,L4
FXYD7,-0.820359817,0.463,0.654,0.0E+00,0.0E+00,L4
CFL1,-0.848565541,0.508,0.699,0.0E+00,0.0E+00,L4
SELENOW,-1.132951482,0.599,0.787,0.0E+00,0.0E+00,L4
NDUFA4,-0.931189501,0.566,0.752,0.0E+00,0.0E+00,L4
ITPR2,1.312076536,0.403,0.218,0.0E+00,0.0E+00,L4
SAT2,-0.877344071,0.452,0.637,0.0E+00,0.0E+00,L4
RPL15,-0.835091205,0.559,0.744,0.0E+00,0.0E+00,L4
TMSB10,-1.218418129,0.614,0.798,0.0E+00,0.0E+00,L4
RPL14,-0.838104949,0.481,0.665,0.0E+00,0.0E+00,L4
APLP1,-0.954626749,0.487,0.671,0.0E+00,0.0E+00,L4
HINT1,-0.813633065,0.527,0.71,0.0E+00,0.0E+00,L4
MTCH1,-0.834723459,0.549,0.732,0.0E+00,0.0E+00,L4
EIF1,-0.946495138,0.619,0.801,0.0E+00,0.0E+00,L4
RPL32,-0.820654181,0.482,0.663,0.0E+00,0.0E+00,L4
YPEL3,-0.930706927,0.496,0.677,0.0E+00,0.0E+00,L4
NGRN,-0.8467478,0.552,0.733,0.0E+00,0.0E+00,L4
ACTG1,-0.809349002,0.587,0.766,0.0E+00,0.0E+00,L4
UQCRH,-0.800848811,0.494,0.671,0.0E+00,0.0E+00,L4
THY1,-1.096823996,0.631,0.808,0.0E+00,0.0E+00,L4
VAMP2,-1.152732149,0.688,0.865,0.0E+00,0.0E+00,L4
CCNI,-0.874254485,0.632,0.805,0.0E+00,0.0E+00,L4
SLC17A7,-0.928592967,0.629,0.797,0.0E+00,0.0E+00,L4
STX1A,-0.834329227,0.591,0.756,0.0E+00,0.0E+00,L4
NEFL,-0.843881701,0.557,0.722,0.0E+00,0.0E+00,L4
SARAF,-0.925998995,0.649,0.812,0.0E+00,0.0E+00,L4
MDH1,-0.86657798,0.613,0.774,0.0E+00,0.0E+00,L4
RPL13,-0.704279815,0.576,0.737,0.0E+00,0.0E+00,L4
FTL,-0.755789399,0.591,0.752,0.0E+00,0.0E+00,L4
ARPP19,-0.928136239,0.653,0.814,0.0E+00,0.0E+00,L4
ATP6V0C,-1.057249108,0.63,0.79,0.0E+00,0.0E+00,L4
SCG5,-0.946820065,0.601,0.755,0.0E+00,0.0E+00,L4
SCG3,-0.830307845,0.569,0.72,0.0E+00,0.0E+00,L4
YWHAH,-0.882838854,0.683,0.831,0.0E+00,0.0E+00,L4
ENO2,-0.71368685,0.614,0.76,0.0E+00,0.0E+00,L4
PKM,-0.747991133,0.616,0.757,0.0E+00,0.0E+00,L4
CCK,-1.089984278,0.661,0.794,0.0E+00,0.0E+00,L4
YWHAB,-0.744233322,0.699,0.825,0.0E+00,0.0E+00,L4
CALM3,-0.836251575,0.754,0.879,0.0E+00,0.0E+00,L4
PEBP1,-0.864868933,0.737,0.859,0.0E+00,0.0E+00,L4
STMN1,-0.912233581,0.768,0.88,0.0E+00,0.0E+00,L4
NRGN,-1.324825018,0.79,0.901,0.0E+00,0.0E+00,L4
OLFM1,-0.942637571,0.757,0.866,0.0E+00,0.0E+00,L4
FTH1,-1.126688162,0.783,0.89,0.0E+00,0.0E+00,L4
TUBA1B,-0.860698548,0.785,0.891,0.0E+00,0.0E+00,L4
CKB,-0.914592029,0.763,0.866,0.0E+00,0.0E+00,L4
MCTP1,0.774249928,0.777,0.677,0.0E+00,0.0E+00,L4
GRIP1,0.845189987,0.81,0.713,0.0E+00,0.0E+00,L4
HSP90AB1,-0.688354241,0.786,0.866,0.0E+00,0.0E+00,L4
ATP1B1,-0.660479629,0.829,0.905,0.0E+00,0.0E+00,L4
HSP90AA1,-0.642989494,0.829,0.898,0.0E+00,0.0E+00,L4
DOCK4,0.630636134,0.862,0.793,0.0E+00,0.0E+00,L4
CABP1,-0.739910555,0.827,0.895,0.0E+00,0.0E+00,L4
AC073091.3,0.598811298,0.835,0.77,0.0E+00,0.0E+00,L4
CALM2,-0.666011544,0.87,0.922,0.0E+00,0.0E+00,L4
CALM1,-0.691513359,0.918,0.953,0.0E+00,0.0E+00,L4
MTUS2,0.567949867,0.889,0.861,0.0E+00,0.0E+00,L4
LINC00882,0.542728702,0.913,0.891,0.0E+00,0.0E+00,L4
MEG3,-0.734626865,0.968,0.987,0.0E+00,0.0E+00,L4
CACNA2D3,0.533301461,0.901,0.886,0.0E+00,0.0E+00,L4
NRGN,-1.309294717,0.744,0.869,0.0E+00,0.0E+00,L5/6
MEG3,-0.621491445,0.989,0.988,0.0E+00,0.0E+00,L5/6
TUBA1A,-1.259710407,0.605,0.837,0.0E+00,0.0E+00,L5/6-CC
GAPDH,-1.283901066,0.664,0.868,0.0E+00,0.0E+00,L5/6-CC
VAMP2,-1.118836213,0.734,0.908,0.0E+00,0.0E+00,L5/6-CC
NRGN,-1.38443972,0.841,0.949,0.0E+00,0.0E+00,L5/6-CC
CCK,-1.089570514,0.846,0.946,0.0E+00,0.0E+00,L5/6-CC
FTH1,-1.092200424,0.857,0.942,0.0E+00,0.0E+00,L5/6-CC
CABP1,-0.772373538,0.918,0.966,0.0E+00,0.0E+00,L5/6-CC
MEG3,-0.66289156,0.999,1,0.0E+00,0.0E+00,L5/6-CC
TTC9B,-1.649139228,0.377,0.649,0.0E+00,0.0E+00,ext
HES4,-2.217167619,0.159,0.421,0.0E+00,0.0E+00,ext
HPCA,-1.413524473,0.333,0.576,0.0E+00,0.0E+00,ext
HSPA8,-1.380460681,0.46,0.7,0.0E+00,0.0E+00,ext
TUBB2A,-1.487572846,0.443,0.681,0.0E+00,0.0E+00,ext
GNG3,-1.401371361,0.272,0.508,0.0E+00,0.0E+00,ext
RAB3A,-1.434421606,0.384,0.619,0.0E+00,0.0E+00,ext
ARHGDIG,-1.366726103,0.331,0.566,0.0E+00,0.0E+00,ext
C1QTNF4,-1.682655038,0.262,0.495,0.0E+00,0.0E+00,ext
LINC00551,1.485489717,0.424,0.191,0.0E+00,0.0E+00,ext
C9orf16,-1.206570124,0.369,0.599,0.0E+00,0.0E+00,ext
CCDC85B,-1.124072151,0.452,0.681,0.0E+00,0.0E+00,ext
FAM66A,1.105147703,0.513,0.29,0.0E+00,0.0E+00,ext
CTXN1,-1.353792843,0.326,0.548,0.0E+00,0.0E+00,ext
LY6E,-1.329860759,0.298,0.518,0.0E+00,0.0E+00,ext
RASL10A,-1.510863073,0.268,0.487,0.0E+00,0.0E+00,ext
LY6H,-1.160429148,0.471,0.687,0.0E+00,0.0E+00,ext
STUB1,-1.202132904,0.313,0.527,0.0E+00,0.0E+00,ext
TUBA1A,-1.336001508,0.562,0.773,0.0E+00,0.0E+00,ext
GPX4,-1.092922525,0.456,0.666,0.0E+00,0.0E+00,ext
FKBP5,1.658394747,0.374,0.164,0.0E+00,0.0E+00,ext
PRDX5,-1.233557014,0.279,0.489,0.0E+00,0.0E+00,ext
MEIS3,-0.887675902,0.412,0.621,0.0E+00,0.0E+00,ext
TMEM160,-1.091805712,0.367,0.576,0.0E+00,0.0E+00,ext
TPI1,-1.209773725,0.424,0.63,0.0E+00,0.0E+00,ext
GUK1,-1.171171186,0.522,0.728,0.0E+00,0.0E+00,ext
NPTX2,-1.842352721,0.163,0.368,0.0E+00,0.0E+00,ext
ARF5,-1.189975406,0.309,0.513,0.0E+00,0.0E+00,ext
MAP1LC3A,-1.061018647,0.519,0.723,0.0E+00,0.0E+00,ext
KCNF1,-1.430353181,0.158,0.361,0.0E+00,0.0E+00,ext
ATP6V0B,-1.243905251,0.496,0.699,0.0E+00,0.0E+00,ext
RNASEK,-1.139601653,0.438,0.639,0.0E+00,0.0E+00,ext
EDF1,-1.049926696,0.345,0.545,0.0E+00,0.0E+00,ext
RPS3A,-1.152306801,0.439,0.639,0.0E+00,0.0E+00,ext
TUBA4A,-1.081185781,0.385,0.585,0.0E+00,0.0E+00,ext
SLC25A4,-1.155074993,0.394,0.593,0.0E+00,0.0E+00,ext
TUBB3,-1.121178027,0.429,0.626,0.0E+00,0.0E+00,ext
TMEM205,-1.146507507,0.357,0.553,0.0E+00,0.0E+00,ext
ITPR2,0.880451417,0.621,0.428,0.0E+00,0.0E+00,ext
TRAPPC5,-1.081222715,0.315,0.507,0.0E+00,0.0E+00,ext
RPL29,-0.924090478,0.398,0.589,0.0E+00,0.0E+00,ext
SET,-1.025301445,0.433,0.623,0.0E+00,0.0E+00,ext
PPDPF,-1.196389557,0.282,0.472,0.0E+00,0.0E+00,ext
ATP5F1D,-0.960602787,0.373,0.562,0.0E+00,0.0E+00,ext
ANTKMT,-1.128164177,0.337,0.526,0.0E+00,0.0E+00,ext
ATP6V0E2,-1.099375314,0.502,0.691,0.0E+00,0.0E+00,ext
BRK1,-1.015825372,0.409,0.597,0.0E+00,0.0E+00,ext
UQCR11,-1.004390542,0.342,0.53,0.0E+00,0.0E+00,ext
SYT5,-1.04549998,0.377,0.565,0.0E+00,0.0E+00,ext
AP1S1,-1.038053352,0.338,0.525,0.0E+00,0.0E+00,ext
RPL8,-0.938358649,0.436,0.622,0.0E+00,0.0E+00,ext
PRDX2,-1.067239793,0.364,0.548,0.0E+00,0.0E+00,ext
B4GAT1,-1.018179383,0.36,0.543,0.0E+00,0.0E+00,ext
RPL26,-0.97566197,0.494,0.677,0.0E+00,0.0E+00,ext
ROGDI,-0.988524687,0.353,0.535,0.0E+00,0.0E+00,ext
CDK5R2,-1.07448555,0.265,0.447,0.0E+00,0.0E+00,ext
CDKN2D,-1.175591436,0.28,0.462,0.0E+00,0.0E+00,ext
SEPTIN5,-1.278762817,0.187,0.367,0.0E+00,0.0E+00,ext
AURKAIP1,-1.094957526,0.232,0.412,0.0E+00,0.0E+00,ext
ELOB,-1.005422178,0.355,0.534,0.0E+00,0.0E+00,ext
C4orf48,-1.137763356,0.275,0.454,0.0E+00,0.0E+00,ext
RPL19,-0.954519802,0.457,0.636,0.0E+00,0.0E+00,ext
PSMD8,-1.04867132,0.313,0.492,0.0E+00,0.0E+00,ext
NRN1,-1.207823684,0.536,0.715,0.0E+00,0.0E+00,ext
SELENOH,-0.934413328,0.435,0.613,0.0E+00,0.0E+00,ext
TTYH1,-0.997245708,0.412,0.59,0.0E+00,0.0E+00,ext
RPL7A,-0.983489066,0.558,0.736,0.0E+00,0.0E+00,ext
CHCHD2,-0.875552649,0.435,0.612,0.0E+00,0.0E+00,ext
RABAC1,-1.037605157,0.322,0.499,0.0E+00,0.0E+00,ext
ATP5F1E,-0.961427338,0.436,0.612,0.0E+00,0.0E+00,ext
ATP5MC3,-0.91369184,0.389,0.565,0.0E+00,0.0E+00,ext
AP2M1,-1.075662991,0.558,0.734,0.0E+00,0.0E+00,ext
GABARAP,-0.9561993,0.389,0.564,0.0E+00,0.0E+00,ext
RHBDL3,0.665637872,0.577,0.402,0.0E+00,0.0E+00,ext
NDUFV1,-0.920333439,0.496,0.67,0.0E+00,0.0E+00,ext
RPL18A,-0.830679064,0.369,0.543,0.0E+00,0.0E+00,ext
MICOS13,-1.145086562,0.22,0.394,0.0E+00,0.0E+00,ext
COX5A,-1.074138154,0.299,0.473,0.0E+00,0.0E+00,ext
CYCS,-0.967188292,0.389,0.563,0.0E+00,0.0E+00,ext
ITM2C,-1.007755087,0.472,0.645,0.0E+00,0.0E+00,ext
AP2S1,-1.036012334,0.294,0.467,0.0E+00,0.0E+00,ext
